	Endothelial	CAFs	PVL	B-cells	Plasmablasts	T-cells	Myeloid	Cancer Epithelial	Normal Epithelial
0	0	0	0	0	0	0	0	1	0
1	0	0	0	0	0.000949667616334283	0	0	0.985754985754986	0.01329534662868
2	0.00120481927710843	0	0	0	0.00240963855421687	0	0.00120481927710843	0.995180722891566	0
3	0	0	0.00128865979381443	0.0077319587628866	0.984536082474227	0.00257731958762887	0	0	0.0038659793814433
4	0	0	0	0.0190217391304348	0.927989130434783	0.0529891304347826	0	0	0
5	0.0017636684303351	0	0.00881834215167548	0	0.00529100529100529	0.0017636684303351	0	0.977072310405644	0.00529100529100529
6	0	0	0	0.00788954635108481	0	0.992110453648915	0	0	0
7	0.00464037122969838	0.00232018561484919	0.00464037122969838	0.148491879350348	0	0.82830626450116	0.00928074245939675	0	0.00232018561484919
8	0	0.853146853146853	0.132867132867133	0	0	0	0	0.0034965034965035	0.0104895104895105
9	0	0	0	0	0	0	1	0	0
10	1	0	0	0	0	0	0	0	0
